trait,feature,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,significance
agreeableness,"Education_Some college, no degree",-0.08285350055974582,0.020290224145668837,-4.0834196786057575,4.800831730678758e-05,-0.12267093623372582,-0.043036064885765814,***
agreeableness,Caste_OBC,0.002684623704454714,0.016787613303955264,0.15991693731843348,0.8729795611555531,-0.03025930574900946,0.03562855315791889,
agreeableness,Caste_SC,-0.12237391358350311,0.016914481019453274,-7.234860676053931,9.411253595476377e-13,-0.15556680761541058,-0.08918101955159562,***
agreeableness,Caste_ST,0.032458723957384444,0.01658620881427226,1.9569706568178529,0.05063539308037735,-8.997032002498045e-05,0.06500741823479386,
neuroticism,sex_Female,0.2340629294700278,0.023694614350700895,9.878317747893801,5.328670018816478e-22,0.18756473526795991,0.2805611236720957,***
neuroticism,religion_Agnostic,0.10015362061984184,0.057097710279083336,1.7540742024559122,0.07973130164638563,-0.011894644093598819,0.2122018853332825,
neuroticism,religion_Atheist,-0.16210229202223006,0.056569162307889866,-2.865559350869532,0.004252006611700389,-0.27311333680687555,-0.051091247237584556,**
neuroticism,religion_Buddhist,-0.9542950362269663,0.05561373631822127,-17.159340468809706,6.879180153355119e-58,-1.063431157767208,-0.8451589146867247,***
neuroticism,religion_Jewish,0.03945715766212677,0.05543221790060373,0.7118091095124128,0.47675291702110234,-0.06932275303168758,0.1482370683559411,
neuroticism,religion_Mormon,-0.692502046512296,0.057611315386372194,-12.020243625197725,3.8731349087228137e-31,-0.8055582073521905,-0.5794458856724014,***
neuroticism,religion_Muslim,-0.05623156669417868,0.055493632094538295,-1.013297644644763,0.31116888562148326,-0.16513199629891798,0.05266886291056062,
neuroticism,religion_Nothing in particular,-0.00422842274875062,0.05519153865451703,-0.07661360512558484,0.9389466210967832,-0.11253602567847529,0.10407918018097406,
neuroticism,religion_Orthodox,-0.03872020563282025,0.05871686115398857,-0.6594392968533201,0.5097691179847201,-0.1539458840280989,0.07650547276245839,
neuroticism,religion_Other,0.02147671785694512,0.05453054861172385,0.3938474562188379,0.693779604737888,-0.08553376147665227,0.12848719719054252,
neuroticism,religion_Protestant,-0.18417463415981475,0.05742730813557727,-3.2070915412752075,0.0013844142826769253,-0.2968697000793441,-0.07147956824028537,**
neuroticism,religion_Roman Catholic,-0.11761149056650588,0.0566843759545343,-2.0748484672538394,0.03826187833327763,-0.22884863004242212,-0.006374351090589633,*
neuroticism,Region_North East India,0.02404031128082649,0.028595667926594907,0.8406976659030304,0.40072302643049174,-0.03207568625805399,0.08015630881970696,
neuroticism,Region_South India,-0.0023527977086749445,0.028892172186952024,-0.08143374244936454,0.935113694404801,-0.05905065374399548,0.054345058326645594,
neuroticism,Education_Associate’s degree,-0.2611734687566593,0.042752012258236854,-6.109033352139819,1.4455193690917767e-09,-0.34506980651046965,-0.17727713100284898,***
neuroticism,Education_College graduate/some postgrad,-0.40956620082155626,0.04175460409715639,-9.808887179688261,9.985758685516304e-22,-0.49150522972508454,-0.327627171918028,***
neuroticism,Education_Less than high school,0.09173361225880293,0.040905570035197306,2.2425701971606924,0.025148140831957266,0.011460723606085535,0.1720065009115203,*
neuroticism,Education_Postgraduate,-0.43198153487765856,0.04078770537007749,-10.590974190829746,6.905854671036839e-25,-0.5120231264935393,-0.35193994326177774,***
neuroticism,"Education_Some college, no degree",-0.00760939081102996,0.040707093892179705,-0.18693033777318627,0.8517540617299584,-0.08749279086072914,0.07227400923866922,
neuroticism,Caste_OBC,0.07301138322500461,0.033680009943881546,2.167795774011289,0.030415109092601738,0.006917898016968016,0.1391048684330412,*
neuroticism,Caste_SC,0.25606055123669524,0.03393453724577764,7.545721026991638,1.0281944093302408e-13,0.18946758290822782,0.32265351956516264,***
neuroticism,Caste_ST,0.012906374333144732,0.0332759438570324,0.3878590007422781,0.6982048676728085,-0.052394173581264816,0.07820692224755428,
agency,sex_Female,-0.28726150495082836,0.018723389884071854,-15.342387608731267,9.234129950597718e-48,-0.3240041928065964,-0.2505188170950603,***
agency,religion_Agnostic,0.09161632475298269,0.04511838324186235,2.0305764118776755,0.04256840517014125,0.0030762322656203572,0.18015641724034503,*
agency,religion_Atheist,0.29343963023618036,0.04470072674023637,6.564538244342394,8.460538264992094e-11,0.2057191448052961,0.38116011566706465,***
agency,religion_Buddhist,-0.41493569652117857,0.04394575292867016,-9.441997664590586,2.6000469305332772e-20,-0.5011746250721703,-0.3286967679701868,***
